# Taken at http://www.eso.org/sci/facilities/paranal/decommissioned/isaac/inst/isaac_img.html
# nm Ksband
2079.9 0.8541
2080.3 0.8551
2080.7 0.8554
2081.2 0.8551
2081.6 0.8552
2082 0.8561
2082.5 0.8576
2082.9 0.8589
2083.3 0.8597
2083.8 0.8598
2084.2 0.8601
2084.6 0.8609
2085.1 0.8614
2085.5 0.8615
2085.9 0.8613
2086.4 0.8612
2086.8 0.8616
2087.2 0.8623
2087.7 0.8625
2088.1 0.8623
2088.6 0.8621
2089 0.8622
2089.4 0.8628
2089.9 0.8632
2090.3 0.8630
2090.7 0.8625
2091.2 0.8626
2091.6 0.8631
2092.1 0.8641
2092.5 0.8648
2092.9 0.8647
2093.4 0.8645
2093.8 0.8645
2094.2 0.8647
2094.7 0.8648
2095.1 0.8648
2095.6 0.8647
2096 0.8651
2096.4 0.8658
2096.9 0.8663
2097.3 0.8662
2097.8 0.8659
2098.2 0.8657
2098.6 0.8659
2099.1 0.8662
2099.5 0.8658
2100 0.8649
2100.4 0.8642
2100.8 0.8641
2101.3 0.8649
2101.7 0.8657
2102.2 0.8659
2102.6 0.8659
2103 0.8660
2103.5 0.8663
2103.9 0.8666
2104.4 0.8663
2104.8 0.8653
2105.3 0.8645
2105.7 0.8646
2106.1 0.8650
2106.6 0.8652
2107 0.8648
2107.5 0.8638
2107.9 0.8633
2108.4 0.8636
2108.8 0.8638
2109.3 0.8637
2109.7 0.8630
2110.1 0.8623
2110.6 0.8624
2111 0.8631
2111.5 0.8636
2111.9 0.8636
2112.4 0.8631
2112.8 0.8626
2113.3 0.8627
2113.7 0.8630
2114.2 0.8630
2114.6 0.8629
2115.1 0.8629
2115.5 0.8630
2116 0.8631
2116.4 0.8630
2116.9 0.8624
2117.3 0.8619
2117.7 0.8619
2118.2 0.8621
2118.6 0.8621
2119.1 0.8619
2119.5 0.8613
2120 0.8612
2120.4 0.8615
2120.9 0.8617
2121.3 0.8616
2121.8 0.8613
2122.2 0.8610
2122.7 0.8613
2123.1 0.8619
2123.6 0.8622
2124 0.8622
2124.5 0.8623
2124.9 0.8626
2125.4 0.8634
2125.9 0.8639
2126.3 0.8638
2126.8 0.8632
2127.2 0.8626
2127.7 0.8623
2128.1 0.8623
2128.6 0.8622
2129 0.8620
2129.5 0.8623
2129.9 0.8631
2130.4 0.8639
2130.8 0.8645
2131.3 0.8646
2131.7 0.8643
2132.2 0.8645
2132.7 0.8651
2133.1 0.8655
2133.6 0.8655
2134 0.8651
2134.5 0.8648
2134.9 0.8653
2135.4 0.8662
2135.8 0.8669
2136.3 0.8673
2136.8 0.8675
2137.2 0.8680
2137.7 0.8689
2138.1 0.8698
2138.6 0.8700
2139 0.8700
2139.5 0.8702
2140 0.8707
2140.4 0.8715
2140.9 0.8719
2141.3 0.8718
2141.8 0.8718
2142.2 0.8719
2142.7 0.8720
2143.2 0.8717
2143.6 0.8708
2144.1 0.8698
2144.5 0.8696
2145 0.8704
2145.5 0.8716
2145.9 0.8728
2146.4 0.8734
2146.8 0.8738
2147.3 0.8744
2147.8 0.8751
2148.2 0.8754
2148.7 0.8753
2149.2 0.8752
2149.6 0.8753
2150.1 0.8760
2150.5 0.8767
2151 0.8769
2151.5 0.8768
2151.9 0.8769
2152.4 0.8774
2152.9 0.8781
2153.3 0.8786
2153.8 0.8786
2154.2 0.8787
2154.7 0.8792
2155.2 0.8797
