A	gBand	rBand	iBand	zBand	JBand	HBand	KBand
435	0.70623	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000
436	0.70636	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000
437	0.70546	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000
438	0.70431	0.00004	0.00000	0.00000	0.00000	0.00000	0.00000
439	0.70267	0.00006	0.00000	0.00000	0.00000	0.00000	0.00000
440	0.70163	0.00008	0.00000	0.00000	0.00000	0.00000	0.00000
441	0.70078	0.00009	0.00000	0.00000	0.00000	0.00000	0.00000
442	0.70058	0.00009	0.00000	0.00000	0.00000	0.00000	0.00000
443	0.70192	0.00016	0.00000	0.00000	0.00000	0.00000	0.00000
444	0.70300	0.00015	0.00000	0.00000	0.00000	0.00000	0.00000
445	0.70290	0.00014	0.00000	0.00000	0.00000	0.00000	0.00000
446	0.70262	0.00021	0.00000	0.00000	0.00000	0.00000	0.00000
447	0.70263	0.00027	0.00000	0.00000	0.00000	0.00000	0.00000
448	0.70161	0.00034	0.00000	0.00000	0.00000	0.00000	0.00000
449	0.70100	0.00038	0.00000	0.00000	0.00000	0.00000	0.00000
450	0.70049	0.00041	0.00000	0.00000	0.00000	0.00000	0.00000
451	0.70101	0.00046	0.00000	0.00000	0.00000	0.00000	0.00000
452	0.70133	0.00051	0.00000	0.00000	0.00000	0.00000	0.00000
453	0.70244	0.00050	0.00000	0.00000	0.00000	0.00000	0.00000
454	0.70261	0.00050	0.00000	0.00000	0.00000	0.00000	0.00000
455	0.70117	0.00049	0.00000	0.00000	0.00000	0.00000	0.00000
456	0.69883	0.00049	0.00000	0.00000	0.00000	0.00000	0.00000
457	0.69551	0.00052	0.00000	0.00000	0.00000	0.00000	0.00000
458	0.69147	0.00053	0.00000	0.00000	0.00000	0.00000	0.00000
459	0.68637	0.00055	0.00000	0.00000	0.00000	0.00000	0.00000
460	0.68138	0.00057	0.00000	0.00000	0.00000	0.00000	0.00000
461	0.67771	0.00059	0.00000	0.00000	0.00000	0.00000	0.00000
462	0.67481	0.00059	0.00000	0.00000	0.00000	0.00000	0.00000
463	0.67461	0.00057	0.00000	0.00000	0.00000	0.00000	0.00000
464	0.67490	0.00052	0.00000	0.00000	0.00000	0.00000	0.00000
465	0.67612	0.00054	0.00000	0.00000	0.00000	0.00000	0.00000
466	0.67781	0.00046	0.00000	0.00000	0.00000	0.00000	0.00000
467	0.67913	0.00046	0.00000	0.00000	0.00000	0.00000	0.00000
468	0.67944	0.00046	0.00000	0.00000	0.00000	0.00000	0.00000
469	0.67762	0.00044	0.00000	0.00000	0.00000	0.00000	0.00000
470	0.67474	0.00043	0.00000	0.00000	0.00000	0.00000	0.00000
471	0.67119	0.00040	0.00000	0.00000	0.00000	0.00000	0.00000
472	0.66658	0.00037	0.00000	0.00000	0.00000	0.00000	0.00000
473	0.66287	0.00034	0.00000	0.00000	0.00000	0.00000	0.00000
474	0.65948	0.00031	0.00000	0.00000	0.00000	0.00000	0.00000
475	0.65643	0.00028	0.00000	0.00000	0.00000	0.00000	0.00000
476	0.65524	0.00032	0.00000	0.00000	0.00000	0.00000	0.00000
477	0.65473	0.00031	0.00000	0.00000	0.00000	0.00000	0.00000
478	0.65481	0.00035	0.00000	0.00000	0.00000	0.00000	0.00000
479	0.65467	0.00040	0.00000	0.00000	0.00000	0.00000	0.00000
480	0.65445	0.00046	0.00000	0.00000	0.00000	0.00000	0.00000
481	0.65313	0.00048	0.00000	0.00000	0.00000	0.00000	0.00000
482	0.64987	0.00055	0.00000	0.00000	0.00000	0.00000	0.00000
483	0.64626	0.00067	0.00000	0.00000	0.00000	0.00000	0.00000
484	0.64228	0.00073	0.00000	0.00000	0.00000	0.00000	0.00000
485	0.63748	0.00084	0.00000	0.00000	0.00000	0.00000	0.00000
486	0.63367	0.00093	0.00000	0.00000	0.00000	0.00000	0.00000
487	0.63107	0.00107	0.00000	0.00000	0.00000	0.00000	0.00000
488	0.62990	0.00116	0.00000	0.00000	0.00000	0.00000	0.00000
489	0.62885	0.00137	0.00000	0.00000	0.00000	0.00000	0.00000
490	0.62906	0.00155	0.00000	0.00000	0.00000	0.00000	0.00000
491	0.62985	0.00178	0.00000	0.00000	0.00000	0.00000	0.00000
492	0.62951	0.00213	0.00000	0.00000	0.00000	0.00000	0.00000
493	0.62897	0.00258	0.00000	0.00000	0.00000	0.00000	0.00000
494	0.62764	0.00306	0.00000	0.00000	0.00000	0.00000	0.00000
495	0.62396	0.00368	0.00000	0.00000	0.00000	0.00000	0.00000
496	0.62019	0.00422	0.00000	0.00000	0.00000	0.00000	0.00000
497	0.61525	0.00477	0.00000	0.00000	0.00000	0.00000	0.00000
498	0.61000	0.00505	0.00000	0.00000	0.00000	0.00000	0.00000
499	0.60466	0.00513	0.00000	0.00000	0.00000	0.00000	0.00000
500	0.60076	0.00505	0.00000	0.00000	0.00000	0.00000	0.00000
501	0.59824	0.00492	0.00000	0.00000	0.00000	0.00000	0.00000
502	0.59702	0.00480	0.00000	0.00000	0.00000	0.00000	0.00000
503	0.59733	0.00474	0.00000	0.00000	0.00000	0.00000	0.00000
504	0.59800	0.00486	0.00000	0.00000	0.00000	0.00000	0.00000
505	0.59882	0.00505	0.00000	0.00000	0.00000	0.00000	0.00000
506	0.59953	0.00544	0.00000	0.00000	0.00000	0.00000	0.00000
507	0.59920	0.00604	0.00000	0.00000	0.00000	0.00000	0.00000
508	0.59821	0.00681	0.00000	0.00000	0.00000	0.00000	0.00000
509	0.59517	0.00786	0.00000	0.00000	0.00000	0.00000	0.00000
510	0.59182	0.00894	0.00000	0.00000	0.00000	0.00000	0.00000
511	0.58745	0.01014	0.00000	0.00000	0.00000	0.00000	0.00000
512	0.58268	0.01107	0.00000	0.00000	0.00000	0.00000	0.00000
513	0.57842	0.01171	0.00000	0.00000	0.00000	0.00000	0.00000
514	0.57444	0.01207	0.00000	0.00000	0.00000	0.00000	0.00000
515	0.57138	0.01227	0.00000	0.00000	0.00000	0.00000	0.00000
516	0.56980	0.01239	0.00000	0.00000	0.00000	0.00000	0.00000
517	0.56813	0.01270	0.00000	0.00000	0.00000	0.00000	0.00000
518	0.56586	0.01324	0.00000	0.00000	0.00000	0.00000	0.00000
519	0.56265	0.01418	0.00000	0.00000	0.00000	0.00000	0.00000
520	0.55843	0.01558	0.00000	0.00000	0.00000	0.00000	0.00000
521	0.55277	0.01760	0.00000	0.00000	0.00000	0.00000	0.00000
522	0.54501	0.02039	0.00000	0.00000	0.00000	0.00000	0.00000
523	0.53636	0.02432	0.00000	0.00000	0.00000	0.00000	0.00000
524	0.52681	0.02965	0.00000	0.00000	0.00000	0.00000	0.00000
525	0.51657	0.03689	0.00000	0.00000	0.00000	0.00000	0.00000
526	0.50599	0.04649	0.00000	0.00000	0.00000	0.00000	0.00000
527	0.49505	0.05936	0.00000	0.00000	0.00000	0.00000	0.00000
528	0.48316	0.07589	0.00000	0.00000	0.00000	0.00000	0.00000
529	0.47027	0.09666	0.00000	0.00000	0.00000	0.00000	0.00000
530	0.45572	0.12160	0.00000	0.00000	0.00000	0.00000	0.00000
531	0.43839	0.15048	0.00000	0.00000	0.00000	0.00000	0.00000
532	0.41859	0.18203	0.00000	0.00000	0.00000	0.00000	0.00000
533	0.39626	0.21474	0.00000	0.00000	0.00000	0.00000	0.00000
534	0.37223	0.24837	0.00000	0.00000	0.00000	0.00000	0.00000
535	0.34738	0.28201	0.00000	0.00000	0.00000	0.00000	0.00000
536	0.32263	0.31456	0.00000	0.00000	0.00000	0.00000	0.00000
537	0.29721	0.34658	0.00000	0.00000	0.00000	0.00000	0.00000
538	0.26791	0.37945	0.00000	0.00000	0.00000	0.00000	0.00000
539	0.23087	0.41287	0.00000	0.00000	0.00000	0.00000	0.00000
540	0.18364	0.44515	0.00000	0.00000	0.00000	0.00000	0.00000
541	0.13074	0.47810	0.00000	0.00000	0.00000	0.00000	0.00000
542	0.08268	0.51189	0.00000	0.00000	0.00000	0.00000	0.00000
543	0.04708	0.54470	0.00000	0.00000	0.00000	0.00000	0.00000
544	0.02491	0.57474	0.00000	0.00000	0.00000	0.00000	0.00000
545	0.01270	0.60267	0.00000	0.00000	0.00000	0.00000	0.00000
546	0.00640	0.62886	0.00000	0.00000	0.00000	0.00000	0.00000
547	0.00324	0.65046	0.00000	0.00000	0.00000	0.00000	0.00000
548	0.00169	0.66579	0.00000	0.00000	0.00000	0.00000	0.00000
549	0.00092	0.67654	0.00000	0.00000	0.00000	0.00000	0.00000
550	0.00055	0.68320	0.00000	0.00000	0.00000	0.00000	0.00000
551	0.00038	0.68426	0.00000	0.00000	0.00000	0.00000	0.00000
552	0.00029	0.68009	0.00000	0.00000	0.00000	0.00000	0.00000
553	0.00024	0.67431	0.00000	0.00000	0.00000	0.00000	0.00000
554	0.00022	0.66626	0.00000	0.00000	0.00000	0.00000	0.00000
555	0.00021	0.65362	0.00000	0.00000	0.00000	0.00000	0.00000
556	0.00020	0.63973	0.00000	0.00000	0.00000	0.00000	0.00000
557	0.00019	0.62587	0.00000	0.00000	0.00000	0.00000	0.00000
558	0.00017	0.61118	0.00000	0.00000	0.00000	0.00000	0.00000
559	0.00016	0.59627	0.00000	0.00000	0.00000	0.00000	0.00000
560	0.00016	0.58221	0.00000	0.00000	0.00000	0.00000	0.00000
561	0.00015	0.57041	0.00000	0.00000	0.00000	0.00000	0.00000
562	0.00013	0.55892	0.00000	0.00000	0.00000	0.00000	0.00000
563	0.00012	0.54798	0.00000	0.00000	0.00000	0.00000	0.00000
564	0.00012	0.53928	0.00000	0.00000	0.00000	0.00000	0.00000
565	0.00011	0.53251	0.00000	0.00000	0.00000	0.00000	0.00000
566	0.00010	0.52796	0.00000	0.00000	0.00000	0.00000	0.00000
567	0.00010	0.52448	0.00000	0.00000	0.00000	0.00000	0.00000
568	0.00010	0.52245	0.00000	0.00000	0.00000	0.00000	0.00000
569	0.00009	0.52375	0.00000	0.00000	0.00000	0.00000	0.00000
570	0.00008	0.52727	0.00000	0.00000	0.00000	0.00000	0.00000
571	0.00008	0.53070	0.00000	0.00000	0.00000	0.00000	0.00000
572	0.00008	0.53628	0.00000	0.00000	0.00000	0.00000	0.00000
573	0.00008	0.54320	0.00000	0.00000	0.00000	0.00000	0.00000
574	0.00008	0.55097	0.00000	0.00000	0.00000	0.00000	0.00000
575	0.00007	0.55934	0.00000	0.00000	0.00000	0.00000	0.00000
576	0.00007	0.56909	0.00000	0.00000	0.00000	0.00000	0.00000
577	0.00008	0.58055	0.00000	0.00000	0.00000	0.00000	0.00000
578	0.00008	0.59137	0.00000	0.00000	0.00000	0.00000	0.00000
579	0.00008	0.60140	0.00000	0.00000	0.00000	0.00000	0.00000
580	0.00008	0.61235	0.00000	0.00000	0.00000	0.00000	0.00000
581	0.00009	0.62439	0.00000	0.00000	0.00000	0.00000	0.00000
582	0.00010	0.63491	0.00000	0.00000	0.00000	0.00000	0.00000
583	0.00011	0.64490	0.00000	0.00000	0.00000	0.00000	0.00000
584	0.00013	0.65634	0.00000	0.00000	0.00000	0.00000	0.00000
585	0.00016	0.66736	0.00000	0.00000	0.00000	0.00000	0.00000
586	0.00020	0.67705	0.00000	0.00000	0.00000	0.00000	0.00000
587	0.00022	0.68661	0.00000	0.00000	0.00000	0.00000	0.00000
588	0.00020	0.69563	0.00000	0.00000	0.00000	0.00000	0.00000
589	0.00014	0.70352	0.00000	0.00000	0.00000	0.00000	0.00000
590	0.00008	0.70959	0.00000	0.00000	0.00000	0.00000	0.00000
591	0.00004	0.71506	0.00000	0.00000	0.00000	0.00000	0.00000
592	0.00002	0.72021	0.00000	0.00000	0.00000	0.00000	0.00000
593	0.00001	0.72372	0.00000	0.00000	0.00000	0.00000	0.00000
594	0.00001	0.72459	0.00000	0.00000	0.00000	0.00000	0.00000
595	0.00001	0.72531	0.00000	0.00000	0.00000	0.00000	0.00000
596	0.00001	0.72488	0.00000	0.00000	0.00000	0.00000	0.00000
597	0.00000	0.72334	0.00000	0.00000	0.00000	0.00000	0.00000
598	0.00000	0.72043	0.00000	0.00000	0.00000	0.00000	0.00000
599	0.00000	0.71876	0.00000	0.00000	0.00000	0.00000	0.00000
600	0.00000	0.71770	0.00000	0.00000	0.00000	0.00000	0.00000
601	0.00000	0.71350	0.00000	0.00000	0.00000	0.00000	0.00000
602	0.00000	0.70981	0.00000	0.00000	0.00000	0.00000	0.00000
603	0.00000	0.70842	0.00000	0.00000	0.00000	0.00000	0.00000
604	0.00000	0.70612	0.00000	0.00000	0.00000	0.00000	0.00000
605	0.00000	0.70298	0.00000	0.00000	0.00000	0.00000	0.00000
606	0.00000	0.70129	0.00000	0.00000	0.00000	0.00000	0.00000
607	0.00001	0.70102	0.00000	0.00000	0.00000	0.00000	0.00000
608	0.00001	0.70050	0.00000	0.00000	0.00000	0.00000	0.00000
609	0.00001	0.69844	0.00000	0.00000	0.00000	0.00000	0.00000
610	0.00001	0.69762	0.00000	0.00000	0.00000	0.00000	0.00000
611	0.00001	0.69726	0.00000	0.00000	0.00000	0.00000	0.00000
612	0.00001	0.69647	0.00000	0.00000	0.00000	0.00000	0.00000
613	0.00001	0.69487	0.00000	0.00000	0.00000	0.00000	0.00000
614	0.00001	0.69516	0.00000	0.00000	0.00000	0.00000	0.00000
615	0.00001	0.69507	0.00000	0.00000	0.00000	0.00000	0.00000
616	0.00001	0.69344	0.00000	0.00000	0.00000	0.00000	0.00000
617	0.00001	0.69197	0.00000	0.00000	0.00000	0.00000	0.00000
618	0.00001	0.69280	0.00000	0.00000	0.00000	0.00000	0.00000
619	0.00001	0.69306	0.00000	0.00000	0.00000	0.00000	0.00000
620	0.00001	0.69092	0.00000	0.00000	0.00000	0.00000	0.00000
621	0.00002	0.69025	0.00000	0.00000	0.00000	0.00000	0.00000
622	0.00002	0.69037	0.00000	0.00000	0.00000	0.00000	0.00000
623	0.00002	0.69055	0.00000	0.00000	0.00000	0.00000	0.00000
624	0.00003	0.68971	0.00000	0.00000	0.00000	0.00000	0.00000
625	0.00003	0.68947	0.00000	0.00000	0.00000	0.00000	0.00000
626	0.00004	0.69019	0.00000	0.00000	0.00000	0.00000	0.00000
627	0.00004	0.69057	0.00000	0.00000	0.00000	0.00000	0.00000
628	0.00005	0.69028	0.00000	0.00000	0.00000	0.00000	0.00000
629	0.00005	0.69109	0.00000	0.00000	0.00000	0.00000	0.00000
630	0.00004	0.69180	0.00000	0.00000	0.00000	0.00000	0.00000
631	0.00004	0.69117	0.00000	0.00000	0.00000	0.00000	0.00000
632	0.00003	0.69209	0.00000	0.00000	0.00000	0.00000	0.00000
633	0.00002	0.69318	0.00000	0.00000	0.00000	0.00000	0.00000
634	0.00002	0.69353	0.00000	0.00000	0.00000	0.00000	0.00000
