# http://www.gemini.edu/sciops/instruments/niri/filters/niri-H-G0203.dat
# nm	%T
1400    0.0
1835	0.28288
1836	0.25369
1837	0.22919
1838	0.21165
1839	0.19448
1840	0.17656
1841	0.15962
1842	0.14365
1843	0.13539
1844	0.1266
1845	0.12255
1846	0.106
1847	0.10202
1848	0.086757
1849	0.081087
1850	0.076607
1851	0.077941
1852	0.070724
1853	0.062408
1854	0.059941
1855	0.055075
1856	0.058638
1857	0.046693
1858	0.049489
1859	0.043708
1860	0.045056
1861	0.04508
1862	0.029527
1863	0.041423
1864	0.040226
1865	0.035572
1866	0.037097
1867	0.031276
1868	0.034323
1869	0.033734
1870	0.024631
1871	0.028332
1872	0.030764
1873	0.028688
1874	0.031323
1875	0.026136
1876	0.019178
1877	0.028608
1878	0.022068
1879	0.030374
1880	0.025788
1881	0.021832
1882	0.02235
1883	0.027675
1884	0.015748
1885	0.026631
1886	0.020516
1887	0.019583
1888	0.020324
1889	0.024341
1890	0.024952
1891	0.017157
1892	0.019478
1893	0.019409
1894	0.013749
1895	0.01819
1896	0.01919
1897	0.021022
1898	0.020992
1899	0.019144
1900	0.0
